id,ieul_店舗id,branch_id,市区町村,city_id,名前,性別,gender,年齢,住所全部,物件種別,property_type,売却回数,sales_count,売却検討時期,査定依頼時期,売出時期,売却時期,引渡時期,査定価格,販売価格,値下げしたかどうか,売り出してから何ヶ月後に値下げしたか,値下げ価格,成約価格,媒介契約の形態,見出し,売却理由,売却時に不安だったこと,この会社に決めた理由,不動産会社の対応満足度,不動産会社の対応満足度の理由,今後売却する人へのアドバイス,不動産会社に改善してほしい点
435,437,437,京都市下京区,1187,渡邊 裕治,男性,1,50,西橋詰町西木屋町通万寿寺下る,戸建て,2,3回以上,3,2017-12-01,2018-03-01,2018-04-01,2019-07-01,2019-07-16,21000000,24900000,0,,,20200000,2,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
436,438,438,能代市,324,中桐 みどり,女性,2,50,常盤字端欠,マンション,1,初めて,1,2019-01-10,2019-02-05,2019-03-01,2019-05-20,2019-06-30,34500000,34500000,0,,,32500000,4,担当者の対応が良かったです。,4,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特になし。
437,439,439,向日市,1189,毛利 直美,女性,2,41,寺戸町中ノ段,土地,3,2回目,2,2019-04-14,2019-06-02,2019-06-17,2019-11-29,2019-11-29,17000000,19000000,0,,,19000000,1,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,私の担当者が素晴らしかったので、特に改善点は見当たらない。
438,440,440,能代市,324,矢沢 誠,男性,1,61,須田字上台,戸建て,2,3回以上,3,2019-08-29,2019-09-29,2019-11-01,2019-11-05,2019-12-23,14000000,15200000,0,,,15200000,4,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にありません。
439,441,441,西尾市,1098,青木 宏至,男性,1,47,西幡豆町江尻,マンション,1,初めて,1,2018-08-20,2018-09-06,2018-09-06,2019-04-12,2019-04-12,28000000,29300000,0,,,29300000,2,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
440,442,442,那珂市,453,杉森 宏明,男性,1,64,竹ノ内２丁目,土地,3,2回目,2,2019-07-31,2019-07-31,2019-08-15,2019-08-15,2019-08-20,15000000,27000000,1,6,1000000,26000000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,少しだけ報告がたりなかった点。
441,443,443,名古屋市中川区,1119,山口 文絵,女性,2,49,富田町大字千音寺字猪ノ木,戸建て,2,3回以上,3,2018-03-01,2018-07-01,2018-07-01,2019-02-20,2019-03-05,14800000,17800000,1,3,2000000,12800000,3,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,2,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,少し時間にルーズなところがあり、それがやや気になりました。
442,444,444,仙北市,318,加藤 修平,男性,1,48,角館町白岩上ノ台,マンション,1,初めて,1,2018-12-01,2019-01-31,2019-03-01,2019-07-01,2019-07-01,15000000,16000000,0,,,15000000,1,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,積極性は相手を見て考えて欲しい。
443,445,445,清須市,1121,佐藤 誠人,男性,1,58,土田ツツミ田,土地,3,2回目,2,2018-11-30,2019-01-08,2019-01-08,2019-10-28,2019-10-28,8000000,8000000,0,,,8000000,2,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,3,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,細かいところは連絡して報告してほしいです。
444,446,446,豊橋市,1101,笠井 武志,男性,1,61,平川本町２丁目,戸建て,2,3回以上,3,2018-01-10,2018-12-05,2018-12-05,2019-06-05,2019-06-12,17000000,19800000,0,,,7000000,2,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特になし。
445,447,447,いわき市,422,濱岡 純,男性,1,56,山玉町中峰,マンション,1,初めて,1,2018-12-07,2018-12-20,2018-12-20,2019-01-31,2019-02-01,49800000,49800000,1,1,500000,49500000,2,担当者の対応が良かったです。,4,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
446,448,448,南陽市,363,福谷 勇司,男性,1,49,若狭郷屋字中屋敷,土地,3,2回目,2,2017-05-01,2019-03-21,2019-08-01,2019-11-01,2019-11-08,10000000,16500000,1,1,500000,16000000,1,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特になし。
447,449,449,十和田市,201,鶴田 悦子,女性,2,50,大字藤島字中道,戸建て,2,3回以上,3,2018-09-24,2018-10-10,2018-11-08,2019-10-14,2019-11-22,16500000,24800000,0,,,19600000,2,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,販売に対しては少なからず積極性に欠ける。
448,450,450,伊達市,128,清水 暢子,女性,2,64,霊山町中川字沼上,マンション,1,初めて,1,2019-06-04,2019-06-04,2019-06-04,2019-08-30,2019-08-31,10500000,10500000,0,,,10500000,4,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,無いです。
449,451,451,田村市,391,中島 祐,男性,1,61,船引町北鹿又字仁井町,土地,3,2回目,2,2018-09-24,2018-10-07,2018-10-07,2018-12-20,2019-01-27,40000000,39800000,1,2,800000,39000000,2,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,売却物件のローン形態が特殊だったので、その点で、少しゴタゴタした。事前の下調べが不十分であったと思います。
450,452,452,滝沢市,255,矢野 安里,女性,2,41,大釜字大清水,戸建て,2,3回以上,3,2019-01-01,2019-05-20,2019-06-01,2019-09-30,2019-09-30,16000000,16000000,0,,,16000000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特になし。
451,453,453,京都市東山区,1182,高橋 慎也,男性,1,54,南木之元町東大路三条下る２筋目西入,マンション,1,初めて,1,2018-09-19,2018-09-20,2018-09-20,2018-10-10,2019-10-16,500000,500000,0,,,500000,4,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
452,454,454,秋田市,323,山田 均,男性,1,41,南ケ丘１丁目,土地,3,2回目,2,2018-09-01,2018-09-16,2018-09-23,2018-09-30,2018-10-28,31000000,31000000,0,,,30000000,2,担当者の対応が良かったです。,4,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,連絡の返信がたまに時間がかかる事があったのが気になりました。
453,455,455,金沢市,837,前島 一夫,男性,1,45,東長江町リ,戸建て,2,3回以上,3,2018-11-01,2018-11-20,2018-12-10,2019-04-20,2019-05-20,9500000,9500000,0,,,9000000,1,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にありません。
454,456,456,八戸市,198,中田 健治,男性,1,65,大字河原木字前谷地,マンション,1,初めて,1,2018-08-15,2018-08-15,2018-08-27,2018-09-20,2018-10-20,4000000,5800000,0,,,2100000,1,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
455,457,457,京都市下京区,1187,青木 優子,女性,2,64,五軒町東堀川通高辻下る,土地,3,2回目,2,2018-01-01,2018-09-28,2018-09-28,2019-01-31,2019-01-31,30000000,22800000,1,2,1000000,21800000,2,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,3,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,前回購入時も同じ不動産会社でしたが、系列間の連絡が無くなりネットの頼りきりである気がしました。
456,458,458,大崎市,283,土生 よしのり,男性,1,52,古川清水沢字田中前,戸建て,2,3回以上,3,2016-08-01,2016-10-01,2016-11-01,2019-07-01,2019-10-01,23000000,28000000,1,3,3000000,20000000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,3,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,販売が長期に渡った際に連絡頻度が少なくなったので、そんな時こそ連絡が欲しかった。
457,459,459,石巻市,296,浅井 恵理奈,女性,2,56,水沼字上千刈田,マンション,1,初めて,1,2018-09-01,2018-10-28,2018-11-01,2019-10-31,2019-10-31,32000000,39800000,1,4,100000,34500000,2,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,営業の質が低すぎると感じたことが多かった。
458,460,460,仙台市太白区,285,橋本 敏弘,男性,1,49,富沢字下ノ内前,土地,3,2回目,2,2018-07-01,2018-07-02,2018-07-03,2019-08-08,2019-08-08,14000000,14000000,1,6,2000000,12000000,2,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にありません。満足しています。
459,461,461,豊田市,1067,伊藤 隆,男性,1,64,国谷町桧ケ入,戸建て,2,3回以上,3,2018-10-19,2018-10-25,2018-10-27,2018-10-29,2019-02-01,20000000,21000000,0,,,20000000,2,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,
460,462,462,大崎市,283,佐藤 清志,男性,1,49,岩出山上野目字西天王寺,マンション,1,初めて,1,2018-09-01,2018-09-01,2018-09-01,2018-09-08,2019-10-19,35000000,34800000,1,1,1800000,33800000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,担当者ありきのところ。
461,463,463,阿南市,1529,林 美恵,女性,2,48,椿町小島,土地,3,2回目,2,2018-11-01,2018-12-20,2019-01-10,2019-01-10,2019-01-30,19800000,19800000,0,,,7000000,3,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,１２月に売買契約したのに、次の年の固定資産税を私のほうで支払うように、売買契約の時言われた。
462,464,464,田原市,1125,小泉 賢一,男性,1,49,八王子町坪沢,戸建て,2,3回以上,3,2018-08-01,2019-02-10,2019-03-01,2019-09-20,2019-09-20,16800000,16800000,0,,,16800000,3,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にありません。
